This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network
"403280","FRANKLIN SEW",-86.8667,35.9333,200,"COOP"
"457059","RITZVILLE 1",-118.3667,47.1167,579,"COOP"
"13E18S","MEADOW LAKE",-113.3189,44.4414,2789,"SNOTEL"
"415265","LITTLEFIELD",-102.3500,33.9333,1095,"COOP"
"282023","CRANFORD",-74.3000,40.6500,23,"COOP"
"102942","EMMETT 2 E",-116.4667,43.8500,728,"COOP"
"307705","SHERBURNE 2",-75.4833,42.6500,329,"COOP"
"252820","FAIRBURY",-97.1667,40.1500,436,"COOP"
"93112","SAN DIEGO NO",-117.2146,32.6978,15,"WBAN"
"06N03S","CHAMITA",-106.6567,36.9561,2560,"SNOTEL"
"357641","SEASIDE",-123.9167,45.9833,3,"COOP"
"108535","SODA SPRINGS",-111.5833,42.6500,1781,"COOP"
"419499","WATER VALLEY",-100.7333,31.6667,646,"COOP"
"443267","GALAX RADIO",-80.9167,36.6667,727,"COOP"
"314860","LAURINBURG",-79.4500,34.7500,64,"COOP"
"422057","DEER CREEK D",-111.5333,40.4000,1606,"COOP"
"452157","DIABLO DAM",-121.1500,48.7167,272,"COOP"
"470273","ARBORETUM UN",-89.4333,43.0333,264,"COOP"
"045502","MECCA FIRE S",-116.0833,33.5667,-58,"COOP"
"045679","MINERAL",-121.6000,40.3500,1486,"COOP"
"045721","MITCHELL CAV",-115.5500,34.9500,1326,"COOP"
"033862","KEO",-92.0000,34.6000,70,"COOP"
"310724","BENT CREEK",-82.6000,35.5000,643,"COOP"
"275868","NEWPORT",-72.1833,43.3833,241,"COOP"
"296812","PIETOWN 19 N",-107.9000,34.5000,2427,"COOP"
"422864","FLAMING GORG",-109.4167,40.9333,1911,"COOP"
"391972","COTTONWOOD 2",-101.8667,43.9667,736,"COOP"
"204078","IONIA 2 SSW",-85.0833,42.9500,245,"COOP"
"046635","PALM SPRINGS",-116.5000,33.8333,130,"COOP"
"017304","SCOTTSBORO",-86.0500,34.6833,187,"COOP"
"249175","WYOLA 1 SW",-107.4167,45.1167,1143,"COOP"
"202015","DEARBORN",-83.2333,42.3167,184,"COOP"
"163327","FRANKLINTON",-90.1833,30.8167,44,"COOP"
"237514","SALISBURY",-92.8333,39.4333,223,"COOP"
"331541","CHIPPEWA LAK",-81.9333,41.0500,360,"COOP"
"416892","PECOS",-103.5000,31.4167,796,"COOP"
"046730","PASO ROBLES",-120.6833,35.6333,213,"COOP"
"057515","SEDGWICK 5 S",-102.5167,40.8500,1216,"COOP"
"143867","HUMBOLDT",-95.4500,37.8167,287,"COOP"
"085612","MELBOURNE WS",-80.6500,28.1167,11,"COOP"
"047085","PORTOLA",-120.4667,39.8000,1478,"COOP"
"407459","PULASKI WATE",-87.0333,35.2000,199,"COOP"
"047109","POTTER VALLE",-123.1333,39.3667,309,"COOP"
"273626","GREENLAND",-70.8333,43.0167,26,"COOP"
"112193","DECATUR",-89.0167,39.8333,189,"COOP"
"047253","RANDSBURG",-117.6500,35.3667,1088,"COOP"
"155694","MURRAY",-88.3000,36.6000,161,"COOP"
"235307","MARSHFIELD",-92.9000,37.3333,454,"COOP"
"041497","CANYON DAM",-121.0833,40.1667,1390,"COOP"
"425733","MOAB",-109.5500,38.5833,1226,"COOP"
"028112","SOUTH PHOENI",-112.0667,33.3833,352,"COOP"
"304731","LIBERTY 1 NE",-74.7333,41.8000,472,"COOP"
"300063","ALCOVE DAM",-73.9333,42.4667,183,"COOP"
"013511","GREENSBORO",-87.5833,32.7000,67,"COOP"
"190860","BROCKTON",-71.0000,42.0500,24,"COOP"
"257318","ROSE 7 WNW",-99.6667,42.1667,777,"COOP"
"358407","THE DALLES",-121.2000,45.6000,31,"COOP"
"10G22S","INDIAN CREEK",-110.6775,42.3014,2873,"SNOTEL"
"250435","AUBURN 5 ESE",-95.7500,40.3667,283,"COOP"
"214937","LUVERNE",-96.2000,43.6667,457,"COOP"
"089707","WINTER HAVEN",-81.7333,28.0167,44,"COOP"
"445828","MOUNT LAKE B",-80.5239,37.3756,1180,"COOP"
"395561","MILLER",-98.9833,44.5167,485,"COOP"
"422828","FILLMORE",-112.3167,38.9500,1561,"COOP"
"047404","RICHARDSON G",-123.7833,40.0333,152,"COOP"
"21C26S","LONE PINE",-121.9636,46.2722,1158,"SNOTEL"
"310241","ARCOLA",-77.9833,36.2833,101,"COOP"
"046699","PARKER RESER",-114.1667,34.2833,225,"COOP"
"340755","BILLINGS",-97.4500,36.5333,305,"COOP"
"BLB","BLACK BUTTE",-122.3290,39.8080,130,"CDEC"
"048351","SONOMA",-122.4667,38.3000,30,"COOP"
"048380","SOUTH ENTR Y",-119.6333,37.5000,1560,"COOP"
"048928","TIGER CREEK",-120.5000,38.4500,718,"COOP"
"049440","WARM SPRINGS",-123.0000,38.7167,68,"COOP"
"19L24S","HEAVENLY VAL",-119.9169,38.9242,2697,"SNOTEL"
"105980","MINIDOKA DAM",-113.4833,42.6667,1283,"COOP"
"411772","CLARKSVILLE",-95.0333,33.6333,133,"COOP"
"014226","JASPER",-87.2833,33.9000,158,"COOP"
"096244","NASHVILLE 4",-83.2167,31.2500,78,"COOP"
"412394","DENISON DAM",-96.5667,33.8167,187,"COOP"
"247136","ROCK SPRINGS",-106.2500,46.8167,922,"COOP"
"013251","GENEVA NO 2",-85.8833,31.0500,44,"COOP"
"246304","OVANDO 9 SSE",-113.0667,46.9000,1297,"COOP"
"214546","LAMBERTON SW",-95.3167,44.2500,349,"COOP"
"030458","BATESVILLE L",-91.7736,35.8283,174,"COOP"
"050454","BAILEY",-105.4833,39.4000,2356,"COOP"
"050848","BOULDER",-105.2667,40.0000,1672,"COOP"
"133473","GRINNELL 3 S",-92.7333,41.7167,307,"COOP"
"338769","WARREN 3 S",-80.8167,41.2000,274,"COOP"
"324418","JAMESTOWN ST",-98.6833,46.8833,447,"COOP"
"07H03S","SANDSTONE RS",-107.1706,41.1117,2484,"SNOTEL"
"465224","LEWISBURG 3",-80.4000,37.8500,702,"COOP"
"308627","TULLY HEIBER",-76.0833,42.7667,579,"COOP"
"051564","CHEYENNE WEL",-102.3500,38.8167,1295,"COOP"
"475017","MANITOWOC",-87.6833,44.1000,201,"COOP"
"450945","BUCKLEY 1 NE",-122.0000,47.1667,209,"COOP"
"331592","CIRCLEVILLE",-82.9500,39.6167,205,"COOP"
"051939","CREEDE",-106.9167,37.8500,2698,"COOP"
"033466","HOT SPRINGS",-93.0500,34.5167,207,"COOP"
"480140","ALTA 1 NNW",-111.0333,43.7833,1960,"COOP"
"144559","LAWRENCE",-95.2667,38.9667,299,"COOP"
"417300","PROCTOR RESE",-98.5000,31.9667,372,"COOP"
"041864","COALINGA",-120.3667,36.1333,204,"COOP"
"145852","NORTON DAM",-99.9333,39.8167,713,"COOP"
"351897","COTTAGE GROV",-123.0667,43.7833,198,"COOP"
"16A08S","BEAR MOUNTAI",-116.0731,48.3050,1646,"SNOTEL"
"362721","EVERETT",-78.3667,40.0167,305,"COOP"
"053146","FRUITA 1 W",-108.7500,39.1667,1366,"COOP"
"053359","GLENWOOD SPG",-107.3167,39.5500,1753,"COOP"
"417206","POST 3 ENE",-101.3333,33.2000,763,"COOP"
"032355","EUDORA",-91.1500,33.0667,41,"COOP"
"413005","EVANT 1 SSW",-98.1667,31.4667,379,"COOP"
"353908","HILLSBORO",-122.9833,45.5167,49,"COOP"
"354622","LA GRANDE",-118.0833,45.3167,840,"COOP"
"054172","HUGO 1 NW",-103.4667,39.1333,1532,"COOP"
"202094","DETOUR VILLA",-83.9000,46.0000,181,"COOP"
"293142","FARMINGTON A",-108.3167,36.7000,1715,"COOP"
"413622","GONZALES 2 N",-97.4500,29.5333,114,"COOP"
"161292","BURAS",-89.5167,29.3333,2,"COOP"
"054413","JULESBURG",-102.2500,41.0000,1057,"COOP"
"470773","BIG FALLS HY",-90.9500,45.5500,372,"COOP"
"141029","BREWSTER 4 W",-101.4500,39.3667,1048,"COOP"
"264745","LUND",-115.0000,38.8500,1698,"COOP"
"258090","SPRINGVIEW",-99.7500,42.8167,747,"COOP"
"416177","NACOGDOCHES",-94.6500,31.6167,133,"COOP"
"235253","MARBLE HILL",-89.9667,37.3000,119,"COOP"
"054603","KIT CARSON",-102.7833,38.7667,1305,"COOP"
"442245","DANVILLE",-79.3833,36.5833,125,"COOP"
"055056","LITTLETON",-105.0167,39.6167,1618,"COOP"
"211390","CEDAR",-93.2833,45.3167,276,"COOP"
"129430","WEST LAFAYET",-87.0000,40.4667,215,"COOP"
"416794","PARIS",-95.5667,33.6667,165,"COOP"
"054762","LAKEWOOD",-105.1333,39.7500,1719,"COOP"
"315923","MOUNT MITCHE",-82.2667,35.7667,1902,"COOP"
"054834","LAS ANIMAS",-103.2167,38.0667,1186,"COOP"
"055484","MEEKER 3 W",-107.9500,40.0167,1884,"COOP"
"055984","NORTHGLENN",-105.0167,39.9000,1636,"COOP"
"054945","LEROY 5 WSW",-103.0000,40.5167,1362,"COOP"
"463544","GLENVILLE 1",-80.8167,38.9333,219,"COOP"
"322536","EDMUNDS ARRO",-98.8667,47.2667,445,"COOP"
"057309","RUXTON PARK",-104.9833,38.8500,2758,"COOP"
"058157","TACONY 10 SE",-104.0667,38.3833,1512,"COOP"
"058436","TRINIDAD LAK",-104.5500,37.1500,1923,"COOP"
"058575","VAIL",-106.3667,39.6333,2507,"COOP"
"058931","WESTCLIFFE",-105.4833,38.1333,2396,"COOP"
"235704","MONETT WSMO",-93.9000,36.8833,439,"COOP"
"026653","PLEASANT VAL",-110.9333,34.1000,1539,"COOP"
"123418","GOSHEN COLLE",-85.8333,41.5667,245,"COOP"
"414982","LAKE KEMP",-99.1500,33.7500,356,"COOP"
"205452","MILFORD GM P",-83.7000,42.5833,302,"COOP"
"389327","WINNSBORO",-81.0833,34.3667,171,"COOP"
"042709","EL CAPITAN D",-116.8167,32.8833,183,"COOP"
"059295","YUMA",-102.7208,40.1239,1262,"COOP"
"419952","YOAKUM",-97.1333,29.2833,99,"COOP"
"397062","REDIG 11 NE",-103.3833,45.3833,936,"COOP"
"476330","OSHKOSH",-88.5500,44.0333,229,"COOP"
"069568","WIGWAM RESER",-73.1333,41.6667,174,"COOP"
"303346","GOUVERNEUR 3",-75.5167,44.3500,128,"COOP"
"073595","GREENWOOD 2N",-75.5833,38.8333,14,"COOP"
"080478","BARTOW",-81.8500,27.9000,38,"COOP"
"055236","LOVELAND NCW",-105.1167,40.4000,1536,"COOP"
"404858","KINGSPORT",-82.5333,36.5167,391,"COOP"
"051660","CLIMAX",-106.1833,39.3667,3459,"COOP"
"411013","BRACKETTVILL",-100.4667,29.6000,511,"COOP"
"14855","GLENVIEW NAS",-87.8333,42.0833,197,"WBAN"
"10C22S","ONION PARK",-110.8528,46.9139,2259,"SNOTEL"
"116446","OLNEY 2 S",-88.0667,38.7000,137,"COOP"
"317319","ROANOKE RAPI",-77.6667,36.4833,64,"COOP"
"418449","SONORA",-100.6500,30.5667,652,"COOP"
"279966","YORK POND",-71.3333,44.5000,466,"COOP"
"133487","GRUNDY CENTE",-92.7833,42.3667,311,"COOP"
"301401","CHAZY",-73.4333,44.8833,52,"COOP"
"163433","GALLIANO",-90.3000,29.4500,2,"COOP"
"267369","SEARCHLIGHT",-114.9167,35.4667,1079,"COOP"
"018469","VALLEY HEAD",-85.6167,34.5667,324,"COOP"
"214534","LAKE WILSON",-95.9500,44.0000,509,"COOP"
"265132","MIDDLEGATE L",-118.0167,39.2833,1402,"COOP"
"07E33S","BURGESS JUNC",-107.5333,44.7833,2402,"SNOTEL"
"219101","WINTON POWER",-91.7667,47.9333,408,"COOP"
"335041","MC CONNELSVI",-81.8500,39.6500,201,"COOP"
"458959","WAPATO",-120.4167,46.4333,256,"COOP"
"13B22S","KRAFT CREEK",-113.7753,47.4275,1448,"SNOTEL"
"085076","LISBON",-81.7833,28.8667,21,"COOP"
"424508","KANAB",-112.5333,37.0500,1509,"COOP"
"149080","YATES CENTER",-95.7167,37.8667,320,"COOP"
"238043","STEELVILLE 2",-91.3667,38.0000,213,"COOP"
"048606","STRAWBERRY V",-121.1000,39.5667,1161,"COOP"
"086078","NAPLES",-81.7833,26.1667,2,"COOP"
"BUC","BUCHANAN DAM",-119.9700,37.2130,137,"CDEC"
"338822","WAUSEON WATE",-84.1500,41.5167,229,"COOP"
"171833","DANFORTH",-67.8667,45.6667,116,"COOP"
"334189","KENTON",-83.6000,40.6500,303,"COOP"
"013645","HAMILTON 3 S",-87.9833,34.1000,133,"COOP"
"249240","YELLOWTAIL D",-107.9333,45.3167,1007,"COOP"
"040931","BOCA",-120.1000,39.3833,1699,"COOP"
