This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network
"403280","FRANKLIN SEW",-86.8667,35.9333,200,"COOP"
"457059","RITZVILLE 1",-118.3667,47.1167,579,"COOP"
"13E18S","MEADOW LAKE",-113.3189,44.4414,2789,"SNOTEL"
"415265","LITTLEFIELD",-102.3500,33.9333,1095,"COOP"
"282023","CRANFORD",-74.3000,40.6500,23,"COOP"
"307035","RHINEBECK 4",-73.8667,41.8833,97,"COOP"
"310982","BOONE 2 WNW",-81.7167,36.2333,1049,"COOP"
"102942","EMMETT 2 E",-116.4667,43.8500,728,"COOP"
"044881","LEE VINING",-119.1167,37.9500,2072,"COOP"
"307705","SHERBURNE 2",-75.4833,42.6500,329,"COOP"
"252820","FAIRBURY",-97.1667,40.1500,436,"COOP"
"057309","RUXTON PARK",-104.9833,38.8500,2758,"COOP"
"073595","GREENWOOD 2N",-75.5833,38.8333,14,"COOP"
"317994","SMITHFIELD",-78.3500,35.5167,46,"COOP"
"06N03S","CHAMITA",-106.6567,36.9561,2560,"SNOTEL"
"357641","SEASIDE",-123.9167,45.9833,3,"COOP"
"07K12S","BISON LAKE",-107.3567,39.7647,3316,"SNOTEL"
"452548","ELWHA RANGER",-123.5833,48.0333,110,"COOP"
"108535","SODA SPRINGS",-111.5833,42.6500,1781,"COOP"
"ALD","ALDER POINT",-123.7120,40.2320,281,"CDEC"
"419499","WATER VALLEY",-100.7333,31.6667,646,"COOP"
"443267","GALAX RADIO",-80.9167,36.6667,727,"COOP"
"314860","LAURINBURG",-79.4500,34.7500,64,"COOP"
"422057","DEER CREEK D",-111.5333,40.4000,1606,"COOP"
"103110","FAIRFIELD 3",-114.7500,43.3167,1530,"COOP"
"452157","DIABLO DAM",-121.1500,48.7167,272,"COOP"
"470273","ARBORETUM UN",-89.4333,43.0333,264,"COOP"
"ANZ","ANZA",-116.6730,33.5580,1195,"CDEC"
"033862","KEO",-92.0000,34.6000,70,"COOP"
"480484","BAGGS",-107.6500,41.0333,1902,"COOP"
"310724","BENT CREEK",-82.6000,35.5000,643,"COOP"
"046506","ORLAND",-122.2000,39.7500,77,"COOP"
"275868","NEWPORT",-72.1833,43.3833,241,"COOP"
"296812","PIETOWN 19 N",-107.9000,34.5000,2427,"COOP"
"046635","PALM SPRINGS",-116.5000,33.8333,130,"COOP"
"325730","MC HENRY 3 W",-98.6500,47.5833,474,"COOP"
"391972","COTTONWOOD 2",-101.8667,43.9667,736,"COOP"
"046826","PETALUMA FIR",-122.6500,38.2667,9,"COOP"
"145744","NEWTON 2 SW",-97.3833,38.0333,441,"COOP"
"204078","IONIA 2 SSW",-85.0833,42.9500,245,"COOP"
"335356","MINERAL RIDG",-80.7833,41.1500,271,"COOP"
"017304","SCOTTSBORO",-86.0500,34.6833,187,"COOP"
"249175","WYOLA 1 SW",-107.4167,45.1167,1143,"COOP"
"461588","CHARLES TOWN",-77.8500,39.2833,158,"COOP"
"314456","JACKSON",-77.4167,36.4000,30,"COOP"
"202015","DEARBORN",-83.2333,42.3167,184,"COOP"
"163327","FRANKLINTON",-90.1833,30.8167,44,"COOP"
"473453","HARTFORD 2 W",-88.4000,43.3167,299,"COOP"
"237514","SALISBURY",-92.8333,39.4333,223,"COOP"
"331541","CHIPPEWA LAK",-81.9333,41.0500,360,"COOP"
"416892","PECOS",-103.5000,31.4167,796,"COOP"
"ARG","ARROYO GRAND",-120.4170,35.1170,183,"CDEC"
"BCH","BEACH MEADOW",-118.2930,36.1270,2332,"CDEC"
"057515","SEDGWICK 5 S",-102.5167,40.8500,1216,"COOP"
"143867","HUMBOLDT",-95.4500,37.8167,287,"COOP"
"BGB","BIG BAR",-123.2000,40.7330,387,"CDEC"
"085612","MELBOURNE WS",-80.6500,28.1167,11,"COOP"
"202250","DOWAGIAC 1 W",-86.1333,41.9833,226,"COOP"
"07F01S","BEAR TRAP ME",-107.0667,43.8833,2499,"SNOTEL"
"407459","PULASKI WATE",-87.0333,35.2000,199,"COOP"
"463215","FRANKLIN 2 N",-79.3167,38.6667,579,"COOP"
"120177","ANDERSON SEW",-85.7167,40.1000,258,"COOP"
"273626","GREENLAND",-70.8333,43.0167,26,"COOP"
"112193","DECATUR",-89.0167,39.8333,189,"COOP"
"047404","RICHARDSON G",-123.7833,40.0333,152,"COOP"
"155694","MURRAY",-88.3000,36.6000,161,"COOP"
"235307","MARSHFIELD",-92.9000,37.3333,454,"COOP"
"BGR","BANGOR",-121.3830,39.3820,244,"CDEC"
"248430","TWIN BRIDGES",-112.3333,45.5500,1410,"COOP"
"041497","CANYON DAM",-121.0833,40.1667,1390,"COOP"
"480740","BILLY CREEK",-106.7167,44.1333,1516,"COOP"
"425733","MOAB",-109.5500,38.5833,1226,"COOP"
"BIM","BIG MEADOWS",-118.8420,36.7170,2316,"CDEC"
"028112","SOUTH PHOENI",-112.0667,33.3833,352,"COOP"
"304731","LIBERTY 1 NE",-74.7333,41.8000,472,"COOP"
"300063","ALCOVE DAM",-73.9333,42.4667,183,"COOP"
"013511","GREENSBORO",-87.5833,32.7000,67,"COOP"
"190860","BROCKTON",-71.0000,42.0500,24,"COOP"
"032978","GREERS FERRY",-92.0000,35.5167,161,"COOP"
"257318","ROSE 7 WNW",-99.6667,42.1667,777,"COOP"
"458520","TONASKET 4 N",-119.4167,48.7833,293,"COOP"
"358407","THE DALLES",-121.2000,45.6000,31,"COOP"
"BKR","BAKER",-122.3730,40.2830,213,"CDEC"
"10G22S","INDIAN CREEK",-110.6775,42.3014,2873,"SNOTEL"
"296676","PECOS RANGER",-105.6833,35.5833,2115,"COOP"
"214937","LUVERNE",-96.2000,43.6667,457,"COOP"
"089707","WINTER HAVEN",-81.7333,28.0167,44,"COOP"
"422828","FILLMORE",-112.3167,38.9500,1561,"COOP"
"049099","TWENTYNINE P",-116.0333,34.1333,602,"COOP"
"21C26S","LONE PINE",-121.9636,46.2722,1158,"SNOTEL"
"BLT","BEN BOLT",-121.0170,38.5860,347,"CDEC"
"310241","ARCOLA",-77.9833,36.2833,101,"COOP"
"BMT","BALD MOUNTAI",-120.6830,38.9000,1426,"CDEC"
"046699","PARKER RESER",-114.1667,34.2833,225,"COOP"
"340755","BILLINGS",-97.4500,36.5333,305,"COOP"
"BNV","BOONVILLE",-123.3410,38.9870,256,"CDEC"
"461723","CLENDENIN",-81.3500,38.4833,210,"COOP"
"342944","ERICK 4 E",-99.8000,35.2000,605,"COOP"
"19L24S","HEAVENLY VAL",-119.9169,38.9242,2697,"SNOTEL"
"105980","MINIDOKA DAM",-113.4833,42.6667,1283,"COOP"
"471847","COUDERAY 7 W",-91.4500,45.8667,396,"COOP"
"429152","WAH WAH RANC",-113.4333,38.4833,1487,"COOP"
"411772","CLARKSVILLE",-95.0333,33.6333,133,"COOP"
"166582","NATCHITOCHES",-93.0833,31.7667,37,"COOP"
"014226","JASPER",-87.2833,33.9000,158,"COOP"
"096244","NASHVILLE 4",-83.2167,31.2500,78,"COOP"
"412394","DENISON DAM",-96.5667,33.8167,187,"COOP"
"247136","ROCK SPRINGS",-106.2500,46.8167,922,"COOP"
"013251","GENEVA NO 2",-85.8833,31.0500,44,"COOP"
"246304","OVANDO 9 SSE",-113.0667,46.9000,1297,"COOP"
"214546","LAMBERTON SW",-95.3167,44.2500,349,"COOP"
"030458","BATESVILLE L",-91.7736,35.8283,174,"COOP"
"058436","TRINIDAD LAK",-104.5500,37.1500,1923,"COOP"
"133473","GRINNELL 3 S",-92.7333,41.7167,307,"COOP"
"324418","JAMESTOWN ST",-98.6833,46.8833,447,"COOP"
"07H03S","SANDSTONE RS",-107.1706,41.1117,2484,"SNOTEL"
"236357","OREGON",-95.1333,39.9667,319,"COOP"
"055484","MEEKER 3 W",-107.9500,40.0167,1884,"COOP"
"465224","LEWISBURG 3",-80.4000,37.8500,702,"COOP"
"276818","PINKHAM NOTC",-71.2500,44.2667,613,"COOP"
"07E12S","SUCKER CREEK",-107.4000,44.7167,2707,"SNOTEL"
"308627","TULLY HEIBER",-76.0833,42.7667,579,"COOP"
"051564","CHEYENNE WEL",-102.3500,38.8167,1295,"COOP"
"050848","BOULDER",-105.2667,40.0000,1672,"COOP"
"222896","EUPORA 2 E",-89.2333,33.5500,134,"COOP"
"475017","MANITOWOC",-87.6833,44.1000,201,"COOP"
"305796","NEW YORK AVE",-73.9833,40.6000,6,"COOP"
"450945","BUCKLEY 1 NE",-122.0000,47.1667,209,"COOP"
"241169","BROCKWAY 3 W",-105.8333,47.2833,802,"COOP"
"105678","MASSACRE ROC",-113.0000,42.6667,1282,"COOP"
"033466","HOT SPRINGS",-93.0500,34.5167,207,"COOP"
"260800","BEOWAWE U OF",-116.5833,39.9000,1750,"COOP"
"360785","BLUE MARSH L",-76.0333,40.3833,107,"COOP"
"144559","LAWRENCE",-95.2667,38.9667,299,"COOP"
"417300","PROCTOR RESE",-98.5000,31.9667,372,"COOP"
"052965","FLORISSANT F",-105.2833,38.8833,2573,"COOP"
"041864","COALINGA",-120.3667,36.1333,204,"COOP"
"354670","LAKEVIEW 2 N",-120.3667,42.2167,1456,"COOP"
"145852","NORTON DAM",-99.9333,39.8167,713,"COOP"
"053005","FORT COLLINS",-105.1333,40.6167,1525,"COOP"
"351897","COTTAGE GROV",-123.0667,43.7833,198,"COOP"
"16A08S","BEAR MOUNTAI",-116.0731,48.3050,1646,"SNOTEL"
"362721","EVERETT",-78.3667,40.0167,305,"COOP"
"417206","POST 3 ENE",-101.3333,33.2000,763,"COOP"
"032355","EUDORA",-91.1500,33.0667,41,"COOP"
"413005","EVANT 1 SSW",-98.1667,31.4667,379,"COOP"
"115950","MOWEAQUA",-89.0333,39.6333,187,"COOP"
"353908","HILLSBORO",-122.9833,45.5167,49,"COOP"
"242857","FAIRFIELD",-111.9833,47.6167,1214,"COOP"
"BSH","BISHOP PASS",-118.5570,37.1000,3414,"CDEC"
"354622","LA GRANDE",-118.0833,45.3167,840,"COOP"
"11E37S","CRAB CREEK",-111.9931,44.4197,2091,"SNOTEL"
"202094","DETOUR VILLA",-83.9000,46.0000,181,"COOP"
"BSS","BROOKS",-122.1420,38.7190,110,"CDEC"
"293142","FARMINGTON A",-108.3167,36.7000,1715,"COOP"
"413622","GONZALES 2 N",-97.4500,29.5333,114,"COOP"
"161292","BURAS",-89.5167,29.3333,2,"COOP"
"134894","LOGAN",-95.7833,41.6333,302,"COOP"
"321370","CARSON",-101.5714,46.4206,704,"COOP"
"470773","BIG FALLS HY",-90.9500,45.5500,372,"COOP"
"450729","BLAINE",-122.7500,49.0000,18,"COOP"
"260718","BEATTY 8 N",-116.7167,37.0000,1082,"COOP"
"141029","BREWSTER 4 W",-101.4500,39.3667,1048,"COOP"
"264745","LUND",-115.0000,38.8500,1698,"COOP"
"416177","NACOGDOCHES",-94.6500,31.6167,133,"COOP"
"235253","MARBLE HILL",-89.9667,37.3000,119,"COOP"
"442245","DANVILLE",-79.3833,36.5833,125,"COOP"
"053496","GRAND LAKE 1",-105.8333,40.2667,2658,"COOP"
"211390","CEDAR",-93.2833,45.3167,276,"COOP"
"129430","WEST LAFAYET",-87.0000,40.4667,215,"COOP"
"416794","PARIS",-95.5667,33.6667,165,"COOP"
"040790","BIG SUR STAT",-121.7833,36.2500,104,"COOP"
"315923","MOUNT MITCHE",-82.2667,35.7667,1902,"COOP"
"054834","LAS ANIMAS",-103.2167,38.0667,1186,"COOP"
"394556","KEYSTONE",-103.4167,43.9000,1352,"COOP"
"241297","BUSBY",-106.9667,45.5333,1045,"COOP"
"054945","LEROY 5 WSW",-103.0000,40.5167,1362,"COOP"
"054742","LAKE GEORGE",-105.4833,38.9167,2597,"COOP"
"055116","LONGMONT 2 E",-105.0667,40.1667,1509,"COOP"
"320766","BEULAH 1 W",-101.7833,47.2667,544,"COOP"
"463544","GLENVILLE 1",-80.8167,38.9333,219,"COOP"
"322536","EDMUNDS ARRO",-98.8667,47.2667,445,"COOP"
"BVE","BEAVER",-120.3170,38.4830,1524,"CDEC"
"025924","NOGALES 6 N",-110.9667,31.4500,1085,"COOP"
"055414","MARVINE RANC",-107.4667,40.0333,2377,"COOP"
"BZR","BRAZIE RANCH",-122.6000,41.6870,920,"CDEC"
"055734","MONUMENT",-104.8667,39.1000,2157,"COOP"
"089430","WEEKI WACHEE",-82.5833,28.5167,6,"COOP"
"449181","WINCHESTER W",-78.1500,39.1833,219,"COOP"
"056326","PARKER 6 E",-104.6500,39.5333,1923,"COOP"
"235704","MONETT WSMO",-93.9000,36.8833,439,"COOP"
"026653","PLEASANT VAL",-110.9333,34.1000,1539,"COOP"
"123418","GOSHEN COLLE",-85.8333,41.5667,245,"COOP"
