This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network
"457059","RITZVILLE 1",-118.3772,47.1139,576,"COOP"
"13E18S","MEADOW LAKE",-113.3189,44.4414,2789,"SNOTEL"
"415265","LITTLEFIELD",-102.3253,33.9106,1068,"COOP"
"048380","SOUTH ENTR Y",-119.6489,37.5072,1561,"COOP"
"282023","CRANFORD",-74.3000,40.6500,23,"COOP"
"307035","RHINEBECK 4",-73.8686,41.8847,92,"COOP"
"310982","BOONE 1 SE",-81.6442,36.2114,1024,"COOP"
"102942","EMMETT 2 E",-116.4664,43.8544,728,"COOP"
"KHUF","TERRE HAUTE/",-87.3253,39.4417,178,"ASOS"
"ACN","ACTON",-118.2000,34.4460,792,"CDEC"
"307705","SHERBURNE 2",-75.4833,42.6500,329,"COOP"
"044500","KENTFIELD",-122.5439,37.9569,44,"COOP"
"KMYP","MONARCH PASS",-106.3169,38.4844,3667,"ASOS"
"ADR","AUBURN DAM R",-121.0450,38.8820,366,"CDEC"
"044534","KETTLEMAN CI",-119.9600,36.0042,73,"COOP"
"168941","TERRYTOWN 3S",-90.0283,29.8531,3,"COOP"
"KOCW","WASHINGTON/W",-77.0497,35.5706,12,"ASOS"
"073595","GREENWOOD 2N",-75.5761,38.8161,14,"COOP"
"93112","SAN DIEGO NO",-117.2146,32.6978,15,"WBAN"
"317994","SMITHFIELD",-78.3458,35.5164,46,"COOP"
"06N03S","CHAMITA",-106.6567,36.9561,2560,"SNOTEL"
"357641","SEASIDE",-123.9244,45.9869,3,"COOP"
"044577","KLAMATH",-124.0747,41.5786,9,"COOP"
"400049","ALAMO 1 N",-89.1175,35.7978,101,"COOP"
"07K12S","BISON LAKE",-107.3567,39.7647,3316,"SNOTEL"
"452548","ELWHA R S",-123.5906,48.0164,110,"COOP"
"108535","SODA SPRINGS",-111.5833,42.6514,1781,"COOP"
"AGW","A.G. WISHON",-119.5050,37.1510,305,"CDEC"
"419499","WATER VALLEY",-100.7283,31.6747,646,"COOP"
"443267","GALAX RADIO",-80.9139,36.6633,727,"COOP"
"AHV","ASH VALLEY",-120.7060,41.0580,1551,"CDEC"
"422057","DEER CREEK D",-111.5286,40.4047,1606,"COOP"
"KTEW","MASON",-84.4233,42.5658,280,"ASOS"
"470273","ARBORETUM UN",-89.4286,43.0411,264,"COOP"
"ALD","ALDER POINT",-123.7120,40.2320,281,"CDEC"
"033862","KEO",-92.0072,34.6053,70,"COOP"
"044997","LIVERMORE",-121.7778,37.6947,146,"COOP"
"480484","BAGGS",-107.6575,41.0389,1902,"COOP"
"310724","BENT CREEK",-82.5950,35.5053,643,"COOP"
"K3T5","LA GRANGE/FA",-96.9500,29.9081,99,"ASOS"
"045032","LODI",-121.2878,38.1061,12,"COOP"
"444128","HOT SPRINGS",-79.8317,37.9969,682,"COOP"
"ALP","ALPHA (SMUD)",-120.2150,38.8050,2316,"CDEC"
"ANZ","ANZA",-116.6730,33.5580,1195,"CDEC"
"414531","JAMAICA BEAC",-94.9881,29.1964,1,"COOP"
"275868","NEWPORT",-72.1833,43.3833,241,"COOP"
"296812","PIETOWN 19 N",-107.8883,34.4931,2427,"COOP"
"045120","LOS BANOS DE",-120.9297,36.9897,124,"COOP"
"477142","RICE RESRVR",-89.7300,45.5300,445,"COOP"
"045378","MARTINEZ WAT",-122.1142,38.0131,12,"COOP"
"391972","COTTONWOOD 2",-101.8606,43.9611,736,"COOP"
"395858","MOUNTAIN MEA",-103.8322,44.0047,1836,"COOP"
"API","ALPINE",-116.7390,32.8340,622,"CDEC"
"145744","NEWTON 2 SW",-97.3728,38.0450,441,"COOP"
"204078","IONIA 2 SSW",-85.0778,42.9531,245,"COOP"
"ARC","MAD RIVER NE",-124.0600,40.9100,10,"CDEC"
"045679","MINERAL",-121.6092,40.3458,1486,"COOP"
"017304","SCOTTSBORO",-86.0536,34.6736,187,"COOP"
"249175","WYOLA 1 SW",-107.4061,45.1217,1137,"COOP"
"KEST","ESTHERVILLE",-94.7472,43.4011,401,"ASOS"
"202015","DEARBORN",-83.2314,42.3167,184,"COOP"
"KSFM","SANFORD MUNI",-70.7200,43.4000,74,"ASOS"
"045795","MONTEREY",-121.9100,36.5903,117,"COOP"
"237514","SALISBURY",-92.8106,39.4247,223,"COOP"
"045802","MONTEREY NWS",-121.8556,36.5925,37,"COOP"
"331541","CHIPPEWA LAK",-81.9361,41.0517,360,"COOP"
"ARY","ARROYO SECO",-121.4880,36.2300,299,"CDEC"
"KTEB","TETERBORO AI",-74.0567,40.8589,2,"ASOS"
"ASC","ASH CREEK (U",-121.9780,41.2700,975,"CDEC"
"057515","SEDGWICK 5 S",-102.5161,40.8656,1216,"COOP"
"143867","HUMBOLDT",-95.4458,37.8119,287,"COOP"
"BAL","BALCH PH (PG",-119.0890,36.9090,524,"CDEC"
"085612","MELBOURNE WF",-80.6458,28.1028,8,"COOP"
"202250","DOWAGIAC 1 W",-86.1333,41.9833,226,"COOP"
"407459","PULASKI WATE",-87.0500,35.1833,193,"COOP"
"463215","FRANKLIN 2 N",-79.3092,38.6756,579,"COOP"
"273626","GREENLAND",-70.8333,43.0167,26,"COOP"
"112193","DECATUR",-88.9525,39.8275,189,"COOP"
"155694","MURRAY",-88.3081,36.6125,161,"COOP"
"235307","MARSHFIELD",-92.9097,37.3381,454,"COOP"
"046252","NORTH FORK R",-119.5067,37.2311,802,"COOP"
"KDTL","DETROIT LAKE",-95.8800,46.8300,426,"ASOS"
"466989","PICKENS 2 N",-80.1956,38.6786,878,"COOP"
"248430","TWIN BRIDGES",-112.3261,45.5472,1410,"COOP"
"041497","CANYON DAM",-121.0886,40.1706,1390,"COOP"
"KOLY","OLNEY-NOBLE",-88.1764,38.7219,147,"ASOS"
"KCNO","CHINO AIRPOR",-117.6236,33.9756,198,"ASOS"
"415650","MASON",-99.2356,30.7436,436,"COOP"
"028112","SOUTH PHOENI",-112.0700,33.3814,352,"COOP"
"237963","SPICKARD 7 W",-93.7158,40.2472,267,"COOP"
"KSLB","STORM LAKE",-95.2300,42.6000,454,"ASOS"
"013511","GREENSBORO",-87.5808,32.7017,67,"COOP"
"046635","PALM SPRINGS",-116.5097,33.8275,130,"COOP"
"KPWG","MC GREGOR (A",-97.3200,31.4800,180,"ASOS"
"032978","GREERS FERRY",-91.9997,35.5206,161,"COOP"
"458520","TONASKET 4 N",-119.4242,48.7806,293,"COOP"
"BCH","BEACH MEADOW",-118.2930,36.1270,2332,"CDEC"
"KEUG","EUGENE/MAHLO",-123.2144,44.1333,111,"ASOS"
"046936","PIONEER 6E",-120.5122,38.4447,914,"COOP"
