This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network
"11D11S","LOWER TWIN",-111.9219,45.5047,2408,"SNOTEL"
"12B13S","WALDRON",-112.7906,47.9203,1707,"SNOTEL"
"ACN","ACTON",-118.2000,34.4460,792,"CDEC"
"ADR","AUBURN DAM R",-121.0450,38.8820,366,"CDEC"
"ABEI","ABERDEEN",-112.8267,42.9533,1341,"AGRIMET"
"AGP","AGNEW PASS",-119.1430,37.7280,2880,"CDEC"
"AGW","A.G. WISHON",-119.5050,37.1510,305,"CDEC"
"AHV","ASH VALLEY",-120.7060,41.0580,1551,"CDEC"
"ALD","ALDER POINT",-123.7120,40.2320,281,"CDEC"
"CZTB","THUNDER BAY",-89.3167,48.3667,199,"ASOS"
"ALP","ALPHA (SMUD)",-120.2150,38.8050,2316,"CDEC"
"ANH","SAN JOAQUIN",-121.8020,38.0180,3,"CDEC"
"ANZ","ANZA",-116.6730,33.5580,1195,"CDEC"
"ARC","MAD RIVER NE",-124.0600,40.9100,10,"CDEC"
"ARG","ARROYO GRAND",-120.4170,35.1170,183,"CDEC"
"044394","JOHNSON VALL",-116.5378,34.3592,965,"COOP"
"ARY","ARROYO SECO",-121.4880,36.2300,299,"CDEC"
"044500","KENTFIELD",-122.5439,37.9569,44,"COOP"
"ASC","ASH CREEK (U",-121.9780,41.2700,975,"CDEC"
"BAL","BALCH PH (PG",-119.0890,36.9090,524,"CDEC"
"BCH","BEACH MEADOW",-118.2930,36.1270,2332,"CDEC"
"BDM","BALD MOUNTAI",-119.4000,37.0670,1439,"CDEC"
"BDY","BRANDY CREEK",-122.5670,40.6170,396,"CDEC"
"BGB","BIG BAR",-123.2000,40.7330,387,"CDEC"
"044555","KING CITY",-121.1378,36.2069,98,"COOP"
"BGD","BOGARD RANGE",-121.0800,40.5900,1731,"CDEC"
"BGR","BANGOR",-121.3830,39.3820,244,"CDEC"
"044838","LAVA BEDS NA",-121.5067,41.7400,1454,"COOP"
"BHL","BEVERLY HILL",-118.4200,34.1250,384,"CDEC"
"BKD","BLACK DIAMON",-121.8840,37.9500,488,"CDEC"
"BKK","BLACKROCK",-118.2610,36.0930,2499,"CDEC"
"BKM","BUCK MEADOWS",-120.0980,37.8230,975,"CDEC"
"044881","LEE VINING",-119.1194,37.9567,2072,"COOP"
"BLA","BLACKS MOUNT",-121.1980,40.7700,2149,"CDEC"
"BLB","BLACK BUTTE",-122.3290,39.8080,130,"CDEC"
"BLC","BLUE CANYON",-120.7080,39.2760,1609,"CDEC"
"044997","LIVERMORE",-121.7778,37.6947,146,"COOP"
