This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network
"403280","FRANKLIN SEW",-86.8697,35.9478,200,"COOP"
"457059","RITZVILLE 1",-118.3772,47.1139,576,"COOP"
"13E18S","MEADOW LAKE",-113.3189,44.4414,2789,"SNOTEL"
"415265","LITTLEFIELD",-102.3253,33.9106,1068,"COOP"
"045721","MITCHELL CAV",-115.5469,34.9436,1326,"COOP"
"323857B0","CALLAHAN",-122.8000,41.3153,956,"RAWS"
"326B6166","MT. LAGUNA",-116.4203,32.8797,1756,"RAWS"
"3333B648","BLUEWATER RI",-108.1631,35.1942,2526,"RAWS"
"CA4237E8","WHITTIER HIL",-118.0100,35.9839,290,"RAWS"
"282023","CRANFORD",-74.3000,40.6500,23,"COOP"
"307035","RHINEBECK 4",-73.8686,41.8847,92,"COOP"
"310982","BOONE 1 SE",-81.6442,36.2114,1024,"COOP"
"KHUF","TERRE HAUTE/",-87.3253,39.4417,178,"ASOS"
"053629","GROSS RESERV",-105.3503,39.9364,2429,"COOP"
"ABEI","ABERDEEN",-112.8267,42.9533,1341,"AGRIMET"
"058690","VIRGINIA DAL",-105.2186,40.9656,2138,"COOP"
"307705","SHERBURNE 2",-75.4833,42.6500,329,"COOP"
"KMYP","MONARCH PASS",-106.3169,38.4844,3667,"ASOS"
"252820","FAIRBURY",-97.1714,40.1356,415,"COOP"
"KRSP","CAMP DAVID",-77.4667,39.6500,561,"ASOS"
"KTBN","FORT LEONARD",-92.1300,37.7300,353,"ASOS"
"168941","TERRYTOWN 3S",-90.0283,29.8531,3,"COOP"
"057309","RUXTON PARK",-104.9742,38.8417,2758,"COOP"
"KOCW","WASHINGTON/W",-77.0497,35.5706,12,"ASOS"
"073595","GREENWOOD 2N",-75.5761,38.8161,14,"COOP"
"317994","SMITHFIELD",-78.3458,35.5164,46,"COOP"
"06N03S","CHAMITA",-106.6567,36.9561,2560,"SNOTEL"
"CYYZ","TORONTO/PEAR",-79.6300,43.6700,173,"ASOS"
"357641","SEASIDE",-123.9244,45.9869,3,"COOP"
"ACN","ACTON",-118.2000,34.4460,792,"CDEC"
"07K12S","BISON LAKE",-107.3567,39.7647,3316,"SNOTEL"
"419499","WATER VALLEY",-100.7283,31.6725,646,"COOP"
"443267","GALAX RADIO",-80.9139,36.6633,727,"COOP"
"ADR","AUBURN DAM R",-121.0450,38.8820,366,"CDEC"
"314860","LAURINBURG",-79.4664,34.7508,64,"COOP"
"422057","DEER CREEK D",-111.5286,40.4047,1606,"COOP"
"KDFW","DALLAS/FT WO",-97.0219,32.8969,183,"ASOS"
"KSBY","SALISBURY RE",-75.5103,38.3406,16,"ASOS"
"KTEW","MASON",-84.4233,42.5658,280,"ASOS"
"452157","DIABLO DAM",-121.1431,48.7142,272,"COOP"
"470273","ARBORETUM UN",-89.4286,43.0411,264,"COOP"
"AGP","AGNEW PASS",-119.1430,37.7280,2880,"CDEC"
"BNDW","BONNEVILLE D",-121.9311,45.6478,24,"AGRIMET"
"033862","KEO",-92.0072,34.6053,70,"COOP"
"09S06S","BEAVER HEAD",-109.2164,33.6914,2435,"SNOTEL"
"480484","BAGGS",-107.6575,41.0389,1902,"COOP"
"310724","BENT CREEK",-82.5950,35.5053,643,"COOP"
"K3T5","LA GRANGE/FA",-96.9500,29.9081,99,"ASOS"
"444128","HOT SPRINGS",-79.8317,37.9969,682,"COOP"
"032930","GRAVETTE",-94.4481,36.4261,384,"COOP"
"AHV","ASH VALLEY",-120.7060,41.0580,1551,"CDEC"
"275868","NEWPORT",-72.1833,43.3833,241,"COOP"
"044303","IRVINE RANCH",-117.7231,33.7200,165,"COOP"
"296812","PIETOWN 19 N",-107.8883,34.4931,2427,"COOP"
"CYOY","VALCARTIER A",-71.5000,46.9000,168,"ASOS"
"KSGS","SOUTH ST PAU",-93.0328,44.8572,250,"ASOS"
"422864","FLAMING GORG",-109.4117,40.9317,1911,"COOP"
"477142","RICE RESRVR",-89.7300,45.5300,445,"COOP"
"KAGC","PITTSBURGH/A",-79.9217,40.3547,382,"ASOS"
"325730","MC HENRY 3 W",-98.6422,47.5808,474,"COOP"
"391972","COTTONWOOD 2",-101.8606,43.9611,736,"COOP"
"ALD","ALDER POINT",-123.7120,40.2320,281,"CDEC"
"145744","NEWTON 2 SW",-97.3728,38.0450,441,"COOP"
"ALP","ALPHA (SMUD)",-120.2150,38.8050,2316,"CDEC"
"361362","CHANDLERS VA",-79.2969,41.9300,454,"COOP"
"CPEH","ENCHANT AGDM",-112.4333,50.1833,801,"ASOS"
"017304","SCOTTSBORO",-86.0536,34.6736,187,"COOP"
"CWSL","SALMON ARM A",-119.2800,50.7000,351,"ASOS"
"034528","MADISON 1 NW",-90.7347,35.0264,91,"COOP"
"CXFM","FOREMOST AGD",-111.4833,49.4833,881,"ASOS"
