This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network
"403280","FRANKLIN SEW",-86.8697,35.9478,200,"COOP"
"457059","RITZVILLE 1",-118.3772,47.1139,576,"COOP"
"13E18S","MEADOW LAKE",-113.3189,44.4414,2789,"SNOTEL"
"415265","LITTLEFIELD",-102.3253,33.9106,1068,"COOP"
"307035","RHINEBECK 4",-73.8686,41.8847,92,"COOP"
"310982","BOONE 1 SE",-81.6442,36.2114,1024,"COOP"
"102942","EMMETT 2 E",-116.4664,43.8544,728,"COOP"
"KHUF","TERRE HAUTE/",-87.3253,39.4417,178,"ASOS"
"ACN","ACTON",-118.2000,34.4460,792,"CDEC"
"307705","SHERBURNE 2",-75.4833,42.6500,329,"COOP"
"252820","FAIRBURY",-97.1714,40.1356,415,"COOP"
"ADR","AUBURN DAM R",-121.0450,38.8820,366,"CDEC"
"168941","TERRYTOWN 3S",-90.0283,29.8531,3,"COOP"
"057309","RUXTON PARK",-104.9742,38.8417,2758,"COOP"
"KOCW","WASHINGTON/W",-77.0497,35.5706,12,"ASOS"
"073595","GREENWOOD 2N",-75.5761,38.8161,14,"COOP"
"93112","SAN DIEGO NO",-117.2146,32.6978,15,"WBAN"
"317994","SMITHFIELD",-78.3458,35.5164,46,"COOP"
"06N03S","CHAMITA",-106.6567,36.9561,2560,"SNOTEL"
"CYYZ","TORONTO/PEAR",-79.6300,43.6700,173,"ASOS"
"400049","ALAMO 1 N",-89.1175,35.7978,101,"COOP"
"AGP","AGNEW PASS",-119.1430,37.7280,2880,"CDEC"
"07K12S","BISON LAKE",-107.3567,39.7647,3316,"SNOTEL"
"452548","ELWHA R S",-123.5906,48.0164,110,"COOP"
"108535","SODA SPRINGS",-111.5833,42.6514,1781,"COOP"
"AGW","A.G. WISHON",-119.5050,37.1510,305,"CDEC"
"419499","WATER VALLEY",-100.7283,31.6725,646,"COOP"
"443267","GALAX RADIO",-80.9139,36.6633,727,"COOP"
"AHV","ASH VALLEY",-120.7060,41.0580,1551,"CDEC"
"314860","LAURINBURG",-79.4664,34.7508,64,"COOP"
"KDFW","DALLAS/FT WO",-97.0219,32.8969,183,"ASOS"
"KSBY","SALISBURY RE",-75.5103,38.3406,16,"ASOS"
"KTEW","MASON",-84.4233,42.5658,280,"ASOS"
"452157","DIABLO DAM",-121.1431,48.7142,272,"COOP"
"033862","KEO",-92.0072,34.6053,70,"COOP"
"09S06S","BEAVER HEAD",-109.2164,33.6914,2435,"SNOTEL"
"480484","BAGGS",-107.6575,41.0389,1902,"COOP"
"310724","BENT CREEK",-82.5950,35.5053,643,"COOP"
"K3T5","LA GRANGE/FA",-96.9500,29.9081,99,"ASOS"
"ALD","ALDER POINT",-123.7120,40.2320,281,"CDEC"
"444128","HOT SPRINGS",-79.8317,37.9969,682,"COOP"
"ALP","ALPHA (SMUD)",-120.2150,38.8050,2316,"CDEC"
"032930","GRAVETTE",-94.4481,36.4261,384,"COOP"
"414531","JAMAICA BEAC",-94.9883,29.1967,1,"COOP"
"275868","NEWPORT",-72.1833,43.3833,241,"COOP"
"296812","PIETOWN 19 N",-107.8883,34.4931,2427,"COOP"
"CYOY","VALCARTIER A",-71.5000,46.9000,168,"ASOS"
"KSGS","SOUTH ST PAU",-93.0328,44.8572,250,"ASOS"
"422864","FLAMING GORG",-109.4117,40.9317,1911,"COOP"
"KAGC","PITTSBURGH/A",-79.9217,40.3547,382,"ASOS"
"325730","MC HENRY 3 W",-98.6422,47.5808,474,"COOP"
"391972","COTTONWOOD 2",-101.8606,43.9611,736,"COOP"
"AMD","AMMO DUMP",-117.2860,33.3820,326,"CDEC"
"145744","NEWTON 2 SW",-97.3728,38.0450,441,"COOP"
"204078","IONIA 2 SSW",-85.0778,42.9531,245,"COOP"
"ANZ","ANZA",-116.6730,33.5580,1195,"CDEC"
"API","ALPINE",-116.7390,32.8340,622,"CDEC"
"361362","CHANDLERS VA",-79.2969,41.9300,454,"COOP"
"CPEH","ENCHANT AGDM",-112.4333,50.1833,801,"ASOS"
"017304","SCOTTSBORO",-86.0536,34.6736,187,"COOP"
"034528","MADISON 1 NW",-90.7347,35.0264,91,"COOP"
"CXFM","FOREMOST AGD",-111.4833,49.4833,881,"ASOS"
"314456","JACKSON",-77.4239,36.3967,30,"COOP"
"KEST","ESTHERVILLE",-94.7472,43.4011,401,"ASOS"
"KGNA","GRAND MARAIS",-90.3400,47.7500,186,"ASOS"
"202015","DEARBORN",-83.2314,42.3167,184,"COOP"
"KSFM","SANFORD MUNI",-70.7200,43.4000,74,"ASOS"
"045123","LOS GATOS",-121.9592,37.2319,111,"COOP"
"473453","HARTFORD 2 W",-88.4114,43.3311,299,"COOP"
"237514","SALISBURY",-92.8106,39.4247,223,"COOP"
"CWVN","VAL MARIE SE",-107.5800,49.0700,785,"ASOS"
